Usual Hours Worked,Education (yrs),Yearly Earnings,Race,Sex,Usual Weekly Earnings,State,Month in Sample
40,13,44000,White,Male,858,Ohio,8
35,12,12000,White,Female,.,Ohio,3
70,11,54000,White,Male,.,Ohio,3
40,16,48200,White,Male,.,Ohio,7
38,12,24000,White,Male,.,Ohio,2
60,18,62000,White,Female,.,Ohio,5
40,13,17000,White,Female,.,Ohio,5
50,8,25000,Black,Male,.,Ohio,5
40,11,10000,Black,Male,.,Ohio,5
50,16,65000,White,Male,.,Ohio,7
45,12,30000,White,Male,.,Ohio,2
50,16,306731,White,Male,.,Ohio,1
50,11,37000,White,Male,643,Ohio,4
40,12,34000,White,Male,600,Ohio,4
40,13,25000,White,Male,520,Ohio,4
40,12,42000,White,Male,680,Ohio,8
40,16,68000,White,Male,.,Ohio,6
50,13,70000,White,Male,.,Ohio,6
40,12,25000,White,Female,.,Ohio,7
35,13,15400,White,Female,.,Ohio,7
40,13,56426,White,Male,.,Ohio,7
40,12,21087,White,Male,.,Ohio,7
40,13,50000,White,Male,.,Ohio,7
49,12,11500,Black,Female,173,Ohio,4
60,12,40000,White,Male,.,Ohio,5
60,18,70000,White,Female,.,Ohio,1
45,18,62000,White,Male,.,Ohio,1
40,12,30000,White,Male,.,Ohio,1
40,16,20000,Black,Female,.,Ohio,6
72,12,17360,White,Female,224,Ohio,8
50,12,32000,White,Male,.,Ohio,7
60,16,60000,White,Male,.,Ohio,2
40,11,9500,White,Female,.,Ohio,6
40,11,9000,White,Male,.,Ohio,6
40,12,0,White,Male,.,Ohio,6
60,11.5,38000,White,Male,.,Ohio,1
52,11,45000,White,Female,.,Ohio,1
45,12,16000,White,Male,.,Ohio,1
40,12,30000,White,Male,.,Ohio,2
40,18,29530,White,Female,.,Ohio,2
38,12,8274,White,Male,.,Ohio,2
40,12,11200,White,Female,.,Ohio,1
45,12,21000,White,Male,.,Ohio,1
45,12,24500,White,Male,.,Ohio,7
40,16,30000,White,Female,.,Ohio,3
40,12,30000,White,Female,522,Ohio,4
40,16,36400,White,Male,765,Ohio,4
50,16,29000,White,Female,635,Ohio,4
45,13,18000,White,Female,.,Ohio,1
40,12,65000,White,Male,.,Ohio,1
40,12,15000,White,Female,.,Ohio,1
40,12,30000,White,Male,.,Ohio,1
40,13,72000,White,Male,.,Ohio,6
40,12,42000,White,Female,.,Ohio,6
40,16,144499,White,Male,.,Ohio,7
40,13,30000,White,Male,480,Ohio,8
40,12,35000,White,Male,1280,Ohio,8
35,10,35000,White,Male,.,Ohio,8
40,12,11000,White,Male,.,Ohio,1
35,11,8000,White,Female,.,Ohio,1
40,16,25000,White,Male,625,Ohio,8
40,16,12340,White,Female,237,Ohio,8
48,12,29484,White,Female,.,Ohio,1
40,12,13000,White,Male,.,Ohio,5
40,12,13650,White,Female,.,Ohio,5
40,14,28000,White,Male,.,Ohio,6
40,12,50000,White,Male,.,Ohio,5
40,12,43000,White,Male,.,Ohio,1
40,13,59314,White,Male,.,Ohio,2
40,16,0,White,Male,.,Ohio,2
40,13,0,White,Female,.,Ohio,2
45,13,32000,White,Male,.,Ohio,3
40,13,24000,White,Male,.,Ohio,3
35,13,11000,White,Female,.,Ohio,3
58,12,26471,White,Male,.,Ohio,3
